plant_class,context,question,answer
Tomato Mosaic Virus,Tomato Mosaic Virus: Farmer thinking about resistant varieties.,Tomato Mosaic Virus — Do resistant varieties exist for this disease?,Some crops have resistant cultivars. Check seed catalogs and local extension resources for varieties with resistance to the specific disease.
Tomato Mosaic Virus,Tomato Mosaic Virus: Researcher planning monitoring strategy.,Tomato Mosaic Virus — What's an effective early-detection routine?,"Regularly inspect lower leaves (often infected first), keep photographic records, and log environmental conditions; early detection improves management outcomes."
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: Field observation of characteristic leaf lesions or spots.,Tomato Yellow Leaf Curl Virus — What are the typical symptoms to look for in this disease?,"Look for characteristic leaf lesions: spots, discoloration, or mold on leaves. Symptoms often start on older leaves and may spread quickly under favourable conditions."
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: Farmer notices small circular lesions developing along leaf edges.,Tomato Yellow Leaf Curl Virus — How quickly does this disease spread within a crop?,"Spread depends on conditions: many fungal diseases can spread rapidly in warm, wet weather; mites and viruses spread differently. Monitor closely and isolate affected plants."
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: Grower unsure if symptoms are caused by nutrient deficiency or disease.,Tomato Yellow Leaf Curl Virus — How can I tell if it is a disease and not a nutrient problem?,"Diseases usually produce localized lesions, spots, or growths, while nutrient deficiencies often cause uniform chlorosis or stunted growth. If unsure, compare to healthy leaves and consult extension."
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: User has an image of infected leaves.,Tomato Yellow Leaf Curl Virus — Can a photograph reliably diagnose this condition?,"Photos can suggest likely diseases, but lab or extension confirmation is recommended for high-confidence diagnosis before major interventions."
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: Farmer concerned about spread to neighbouring fields.,Tomato Yellow Leaf Curl Virus — What cultural practices help reduce spread?,"Practice sanitation: remove and destroy infected debris, avoid working when plants are wet, ensure good spacing for airflow, and rotate crops where feasible."
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: Grower asking about chemical controls but unsure which to use.,Tomato Yellow Leaf Curl Virus — Are there safe treatment options I can consider?,"Treatment options exist (e.g., fungicides for fungal diseases), but products, rates and legal approvals vary by region — consult local agricultural extension for specific recommendations."
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: User considers pruning infected leaves.,Tomato Yellow Leaf Curl Virus — Is pruning infected foliage useful?,Pruning can reduce inoculum if done carefully and equipment is disinfected between cuts. Remove pruned material from the site to prevent further spread.
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: Smallholder asks whether the produce is safe to eat after infection.,Tomato Yellow Leaf Curl Virus — Is fruit/vegetable from infected plants safe to consume?,"For many foliar diseases the fruit is still edible if not visibly affected, but quality may be reduced. When in doubt, follow local food-safety guidance."
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: Farmer thinking about resistant varieties.,Tomato Yellow Leaf Curl Virus — Do resistant varieties exist for this disease?,Some crops have resistant cultivars. Check seed catalogs and local extension resources for varieties with resistance to the specific disease.
Tomato Yellow Leaf Curl Virus,Tomato Yellow Leaf Curl Virus: Researcher planning monitoring strategy.,Tomato Yellow Leaf Curl Virus — What's an effective early-detection routine?,"Regularly inspect lower leaves (often infected first), keep photographic records, and log environmental conditions; early detection improves management outcomes."
Tomato healthy,Tomato healthy: Routine crop check for healthy plants.,Tomato healthy — What routine checks should I perform to keep the plant healthy?,"Inspect for uniform leaf colour, absence of spots or deformities, check soil moisture, and watch for pests; maintain good cultural practices."
Tomato healthy,Tomato healthy: Farmer wondering about watering schedule.,Tomato healthy — How should I water to avoid encouraging disease?,"Water at the root zone rather than overhead, water early in the day to allow foliage to dry, and avoid waterlogging."
Tomato healthy,Tomato healthy: User considering fertilizer timing.,Tomato healthy — How does fertilization affect disease risk?,Balanced nutrition supports plant health; avoid excessive nitrogen which can increase susceptibility to some diseases.
Tomato healthy,Tomato healthy: Grower planning pruning for airflow.,Tomato healthy — Does pruning help prevent diseases?,"Yes — proper pruning improves airflow and reduces humidity around leaves, lowering disease pressure."
Tomato healthy,Tomato healthy: Farmer asking about crop rotation.,Tomato healthy — Is crop rotation useful even for healthy-looking crops?,"Rotation reduces build-up of pathogen populations in soil and is a good preventive practice, especially for soil-borne diseases."
Tomato healthy,Tomato healthy: User thinking about mulch and ground cover.,Tomato healthy — Does mulching increase disease risk?,Organic mulches can conserve moisture and suppress weeds but may retain moisture if piled against stems; apply carefully to avoid contact with stems.
Tomato healthy,Tomato healthy: Grower considering companion planting.,Tomato healthy — Can companion plants reduce disease risk?,Some companions can improve biodiversity and attract beneficial insects; evidence varies by crop — consider local advice.
Tomato healthy,Tomato healthy: Farmer about to buy seeds or seedlings.,Tomato healthy — How do I choose disease-free planting material?,"Source certified or healthy-looking seedlings from reputable suppliers, inspect leaves before planting, and quarantine new plants briefly."
Tomato healthy,Tomato healthy: User planning harvest timing.,Tomato healthy — Does harvest timing affect disease development?,Timely harvest reduces time pathogens can infect fruit; delayed harvest may increase exposure to diseases.
Tomato healthy,Tomato healthy: Researcher wanting to maintain a healthy control set in trials.,Tomato healthy — How should I maintain healthy control plants for experiments?,"Keep controls isolated from infected plots, practice strict sanitation, and monitor regularly to ensure they remain disease-free."
